transaction_id,customer_id,transaction_date,product_id,quantity,unit_price,total_amount,discount_amount,payment_method,shipping_cost,order_status,channel
TXN0000013628,CUST000575,2023-09-21 15:02:53,PROD000153,1,191.62,191.62,0.0,PayPal,0.0,Completed,Website
TXN0000004499,CUST002669,2024-04-29 04:32:19,PROD000126,1,49.42,49.42,0.0,Apple Pay,10.24,Completed,Website
TXN0000012254,CUST003586,2024-05-30 12:37:47,PROD000142,1,276.48,261.37,15.11,Google Pay,0.0,Completed,Mobile App
TXN0000001097,CUST004454,2024-10-04 10:30:30,PROD000106,3,211.4,634.2,0.0,Google Pay,0.0,Completed,Mobile App
TXN0000000438,CUST000978,2024-05-24 01:09:09,PROD000037,1,67.55,67.55,0.0,PayPal,0.0,Completed,Website
TXN0000001702,CUST004637,2024-10-09 20:51:23,PROD000074,1,39.92,39.92,0.0,PayPal,12.58,Completed,Website
TXN0000002650,CUST002171,2024-12-04 21:41:57,PROD000015,1,419.19,419.19,0.0,Google Pay,0.0,Completed,Website
TXN0000023957,CUST000372,2023-01-10 10:36:29,PROD000095,1,201.2,201.2,0.0,Debit Card,0.0,Completed,Mobile App
TXN0000010532,CUST003729,2024-05-05 02:36:52,PROD000099,1,216.29,216.29,0.0,Google Pay,0.0,Completed,Website
TXN0000017826,CUST001298,2023-12-29 05:13:58,PROD000197,1,238.41,185.89,52.52,Credit Card,0.0,Completed,Mobile App
TXN0000023675,CUST000716,2023-02-05 20:09:07,PROD000051,1,204.56,204.56,0.0,Google Pay,0.0,Completed,Mobile App
TXN0000000660,CUST000075,2024-07-25 12:16:09,PROD000013,1,334.47,292.73,41.74,Credit Card,0.0,Completed,In-Store
TXN0000018341,CUST004272,2024-05-28 16:19:35,PROD000077,1,49.31,49.31,0.0,Apple Pay,8.99,Completed,Website
TXN0000024741,CUST001302,2024-07-09 22:22:09,PROD000094,1,159.21,159.21,0.0,Apple Pay,0.0,Completed,Mobile App
TXN0000018956,CUST004323,2024-05-24 20:27:25,PROD000153,1,191.62,191.62,0.0,Credit Card,0.0,Completed,Website
TXN0000001165,CUST004518,2023-05-07 16:08:11,PROD000182,1,217.18,217.18,0.0,Debit Card,0.0,Completed,Website
TXN0000000053,CUST000459,2024-07-02 00:31:14,PROD000095,1,201.2,201.2,0.0,Debit Card,0.0,Cancelled,Website
TXN0000002048,CUST004311,2023-10-23 03:10:55,PROD000134,3,32.54,97.62,0.0,Apple Pay,0.0,Completed,Website
TXN0000002329,CUST002779,2024-06-18 18:51:15,PROD000095,1,201.2,201.2,0.0,Google Pay,0.0,Completed,In-Store
TXN0000015628,CUST002195,2024-08-16 17:30:40,PROD000131,2,294.34,588.68,0.0,Debit Card,0.0,Completed,Mobile App
TXN0000015244,CUST003578,2023-10-15 02:52:06,PROD000033,1,288.23,288.23,0.0,Apple Pay,0.0,Cancelled,Website
TXN0000017290,CUST004479,2023-11-14 19:42:56,PROD000196,1,198.0,198.0,0.0,Credit Card,0.0,Completed,Website
TXN0000022206,CUST001858,2024-03-29 00:33:02,PROD000015,1,419.19,419.19,0.0,Credit Card,0.0,Cancelled,Website
TXN0000007132,CUST000225,2024-05-20 00:29:40,PROD000015,1,419.19,419.19,0.0,Google Pay,0.0,Returned,Mobile App
TXN0000010473,CUST004363,2024-11-28 09:00:34,PROD000062,1,108.74,108.74,0.0,Credit Card,0.0,Completed,Website
TXN0000013119,CUST003667,2024-09-30 02:40:17,PROD000134,2,32.54,49.95,15.13,Debit Card,9.39,Completed,Website
TXN0000018633,CUST001878,2024-07-16 08:05:10,PROD000089,1,266.69,266.69,0.0,Google Pay,0.0,Completed,Website
TXN0000024202,CUST002098,2024-07-20 09:34:57,PROD000080,1,160.07,126.84,33.23,Google Pay,0.0,Completed,Mobile App
TXN0000001751,CUST004272,2024-11-12 09:47:37,PROD000015,3,419.19,1257.57,0.0,Debit Card,0.0,Completed,Website
TXN0000015591,CUST004871,2023-07-20 14:54:39,PROD000082,1,111.9,111.9,0.0,PayPal,0.0,Completed,Website
TXN0000002026,CUST000006,2023-10-10 22:57:03,PROD000074,1,39.92,39.92,0.0,PayPal,5.69,Completed,In-Store
TXN0000003384,CUST002550,2023-07-25 00:37:50,PROD000163,1,197.26,197.26,0.0,Credit Card,0.0,Completed,Website
TXN0000013904,CUST000104,2024-06-24 05:20:46,PROD000015,2,419.19,838.38,0.0,PayPal,0.0,Completed,Mobile App
TXN0000007975,CUST000675,2024-07-30 18:58:41,PROD000110,1,59.79,59.79,0.0,Credit Card,0.0,Completed,Website
TXN0000021717,CUST004745,2024-05-22 13:57:28,PROD000105,1,108.01,108.01,0.0,Debit Card,0.0,Completed,Mobile App
TXN0000008213,CUST000886,2024-10-13 14:58:40,PROD000094,1,159.21,138.06,21.15,Credit Card,0.0,Completed,Website
TXN0000020198,CUST000411,2023-05-09 07:00:37,PROD000152,1,29.53,29.53,0.0,Google Pay,9.22,Completed,Mobile App
TXN0000002133,CUST000934,2023-10-20 10:12:33,PROD000131,1,294.34,294.34,0.0,Credit Card,0.0,Completed,Website
TXN0000012445,CUST001666,2024-12-04 13:53:11,PROD000078,1,101.94,101.94,0.0,Debit Card,0.0,Returned,Website
TXN0000008477,CUST004033,2024-12-04 05:18:07,PROD000134,1,32.54,32.54,0.0,PayPal,5.11,Completed,Website
TXN0000018630,CUST000174,2024-07-11 00:59:47,PROD000116,1,124.37,117.85,6.52,Google Pay,0.0,Completed,In-Store
TXN0000017688,CUST001222,2024-03-01 11:31:07,PROD000124,2,432.11,864.22,0.0,Google Pay,0.0,Completed,Mobile App
TXN0000005738,CUST003136,2023-06-30 01:04:30,PROD000134,1,32.54,32.54,0.0,Credit Card,7.15,Returned,Website
TXN0000009273,CUST003897,2024-02-01 20:31:06,PROD000095,1,201.2,201.2,0.0,Credit Card,0.0,Completed,Website
TXN0000006435,CUST002907,2023-03-31 21:55:53,PROD000014,2,283.64,567.28,0.0,Apple Pay,0.0,Completed,Mobile App
TXN0000020959,CUST002842,2024-12-17 09:37:23,PROD000090,2,416.41,832.82,0.0,Debit Card,0.0,Completed,Mobile App
TXN0000024466,CUST004160,2024-05-28 03:02:55,PROD000082,1,111.9,111.9,0.0,Debit Card,0.0,Completed,Website
TXN0000000229,CUST001317,2024-08-10 19:01:11,PROD000109,1,236.53,236.53,0.0,Credit Card,0.0,Completed,Website
TXN0000014266,CUST001400,2023-04-17 17:08:20,PROD000074,2,39.92,79.84,0.0,Apple Pay,0.0,Completed,Website
TXN0000010670,CUST003227,2023-11-10 15:18:16,PROD000197,1,238.41,238.41,0.0,Google Pay,0.0,Completed,Mobile App
TXN0000024674,CUST001743,2023-05-18 04:55:37,PROD000126,2,49.42,98.84,0.0,Google Pay,0.0,Completed,Website
TXN0000015564,CUST001513,2023-10-23 05:59:25,PROD000085,1,229.32,229.32,0.0,Google Pay,0.0,Completed,Website
TXN0000011835,CUST004325,2024-09-11 09:47:26,PROD000109,1,236.53,236.53,0.0,PayPal,0.0,Completed,In-Store
TXN0000002093,CUST004827,2023-10-18 16:21:22,PROD000138,1,194.07,194.07,0.0,Credit Card,0.0,Completed,Website
TXN0000024735,CUST002016,2023-10-25 22:06:20,PROD000074,1,39.92,39.92,0.0,Google Pay,13.93,Completed,Website
TXN0000006712,CUST000463,2024-03-15 18:44:55,PROD000107,1,150.46,150.46,0.0,Credit Card,0.0,Completed,In-Store
TXN0000006738,CUST003920,2024-10-14 02:35:23,PROD000015,1,419.19,419.19,0.0,Credit Card,0.0,Completed,Website
TXN0000015696,CUST000932,2023-04-17 05:50:55,PROD000134,1,32.54,32.54,0.0,Apple Pay,8.44,Completed,In-Store
TXN0000024700,CUST003781,2024-03-03 00:00:18,PROD000051,1,204.56,204.56,0.0,Debit Card,0.0,Completed,Website
TXN0000000537,CUST004050,2023-04-04 20:09:24,PROD000089,1,266.69,234.02,32.67,Credit Card,0.0,Completed,Website
TXN0000017659,CUST003940,2024-01-27 04:45:03,PROD000079,1,77.73,65.68,12.05,Apple Pay,0.0,Completed,In-Store
TXN0000024117,CUST001376,2024-01-16 10:37:43,PROD000101,1,31.42,31.42,0.0,Apple Pay,8.7,Completed,Mobile App
TXN0000015681,CUST002148,2023-01-21 08:01:28,PROD000151,1,153.42,153.42,0.0,Credit Card,0.0,Completed,Website
TXN0000022092,CUST001790,2023-08-14 09:58:03,PROD000131,1,294.34,294.34,0.0,Google Pay,0.0,Completed,Mobile App
TXN0000003664,CUST003846,2023-07-26 09:35:07,PROD000183,1,193.99,193.99,0.0,Credit Card,0.0,Completed,In-Store
TXN0000003955,CUST003966,2023-09-27 20:32:41,PROD000039,1,37.96,31.38,6.58,Google Pay,5.03,Completed,Website
TXN0000012676,CUST002332,2024-08-11 00:21:31,PROD000023,1,81.25,81.25,0.0,PayPal,0.0,Completed,Website
TXN0000019939,CUST003470,2024-06-14 02:25:06,PROD000131,1,294.34,271.9,22.44,Credit Card,0.0,Completed,Website
TXN0000000541,CUST000589,2023-09-14 12:36:23,PROD000112,2,281.74,426.7,136.78,PayPal,0.0,Completed,Website
TXN0000023774,CUST003227,2024-08-19 09:16:29,PROD000018,1,300.29,237.94,62.35,Credit Card,0.0,Completed,In-Store
TXN0000023183,CUST001078,2023-05-21 12:43:34,PROD000023,1,81.25,81.25,0.0,PayPal,0.0,Completed,Website
TXN0000005514,CUST000030,2023-09-08 04:33:44,PROD000196,2,198.0,396.0,0.0,Apple Pay,0.0,Completed,Website
TXN0000001826,CUST003070,2023-06-26 17:01:17,PROD000089,1,266.69,266.69,0.0,Debit Card,0.0,Completed,Website
TXN0000012496,CUST004888,2023-10-01 02:31:34,PROD000061,1,85.75,69.07,16.68,Google Pay,0.0,Cancelled,In-Store
TXN0000011893,CUST000522,2023-06-08 01:50:02,PROD000051,1,204.56,204.56,0.0,Credit Card,0.0,Completed,Website
TXN0000000206,CUST004032,2023-12-10 03:08:36,PROD000131,1,294.34,294.34,0.0,Credit Card,0.0,Completed,Website
TXN0000004411,CUST004893,2024-02-28 21:43:36,PROD000023,1,81.25,81.25,0.0,Debit Card,0.0,Completed,Website
TXN0000014714,CUST001187,2023-01-22 03:03:28,PROD000140,2,21.14,42.28,0.0,Credit Card,8.98,Completed,Mobile App
TXN0000009426,CUST002133,2024-07-02 17:42:02,PROD000160,1,16.59,15.36,1.23,Debit Card,11.66,Completed,Mobile App
TXN0000024322,CUST000675,2024-03-13 08:34:00,PROD000069,1,290.3,290.3,0.0,Apple Pay,0.0,Completed,Website
TXN0000014892,CUST002088,2023-09-06 15:42:18,PROD000134,1,32.54,32.54,0.0,Debit Card,7.22,Completed,Website
TXN0000021877,CUST001221,2023-10-28 17:03:37,PROD000023,1,81.25,81.25,0.0,PayPal,0.0,Completed,Website
TXN0000023104,CUST002753,2023-03-09 16:06:09,PROD000134,1,32.54,32.54,0.0,Debit Card,14.45,Completed,Website
TXN0000010868,CUST001690,2024-02-02 17:36:28,PROD000148,1,305.44,305.44,0.0,PayPal,0.0,Completed,Mobile App
TXN0000008718,CUST000148,2024-05-26 07:23:34,PROD000145,1,78.93,78.93,0.0,Apple Pay,0.0,Completed,Mobile App
TXN0000005744,CUST000936,2023-09-06 20:37:53,PROD000028,3,232.38,697.14,0.0,Apple Pay,0.0,Completed,In-Store
TXN0000020340,CUST002836,2024-02-22 09:21:19,PROD000196,1,198.0,198.0,0.0,Google Pay,0.0,Completed,In-Store
TXN0000012481,CUST002843,2024-09-27 12:44:35,PROD000105,1,108.01,108.01,0.0,Google Pay,0.0,Completed,Mobile App
TXN0000024468,CUST001131,2023-12-02 06:20:40,PROD000074,1,39.92,39.92,0.0,Debit Card,12.82,Cancelled,Mobile App
TXN0000023965,CUST002675,2024-02-19 04:41:19,PROD000109,1,236.53,236.53,0.0,Google Pay,0.0,Completed,Website
TXN0000015765,CUST004686,2023-10-11 05:20:08,PROD000079,1,77.73,77.73,0.0,Credit Card,0.0,Completed,Website
TXN0000006603,CUST003277,2024-04-25 11:12:14,PROD000170,3,313.91,941.73,0.0,Debit Card,0.0,Cancelled,Mobile App
TXN0000022052,CUST001158,2024-07-19 09:01:51,PROD000023,1,81.25,75.44,5.81,Credit Card,0.0,Completed,Website
TXN0000005351,CUST003550,2024-03-12 04:03:27,PROD000181,1,272.94,272.94,0.0,Apple Pay,0.0,Completed,Website
TXN0000012872,CUST003893,2023-01-07 19:50:19,PROD000147,2,149.69,299.38,0.0,Google Pay,0.0,Completed,Mobile App
TXN0000009708,CUST003539,2024-11-03 14:13:34,PROD000074,1,39.92,39.92,0.0,Credit Card,14.66,Completed,Mobile App
TXN0000020743,CUST004452,2024-06-23 16:27:13,PROD000035,1,180.62,180.62,0.0,Apple Pay,0.0,Completed,Mobile App
TXN0000022409,CUST001376,2023-04-01 15:45:19,PROD000120,1,160.76,126.29,34.47,Credit Card,0.0,Completed,Website
TXN0000012117,CUST003250,2023-11-05 18:09:29,PROD000074,1,39.92,39.92,0.0,Google Pay,7.69,Completed,Website
TXN0000014261,CUST001376,2024-08-08 06:37:07,PROD000015,2,419.19,838.38,0.0,Debit Card,0.0,Completed,Website
TXN0000005339,CUST001438,2024-03-13 17:54:27,PROD000134,1,32.54,32.54,0.0,Apple Pay,10.56,Completed,Mobile App
TXN0000004328,CUST004624,2024-03-05 16:41:53,PROD000197,1,238.41,218.94,19.47,Google Pay,0.0,Completed,Mobile App
TXN0000017574,CUST001590,2023-07-07 11:17:36,PROD000145,1,78.93,78.93,0.0,Apple Pay,0.0,Completed,Website
TXN0000007144,CUST003635,2024-08-18 00:29:07,PROD000005,1,268.96,268.96,0.0,Apple Pay,0.0,Completed,Mobile App
TXN0000016028,CUST000662,2024-01-10 13:07:53,PROD000181,1,272.94,272.94,0.0,Credit Card,0.0,Completed,Website
TXN0000016683,CUST002669,2023-01-09 17:24:03,PROD000163,1,197.26,197.26,0.0,PayPal,0.0,Returned,Website
TXN0000007863,CUST001769,2024-12-14 22:13:22,PROD000074,2,39.92,79.84,0.0,Credit Card,0.0,Completed,Mobile App
TXN0000001276,CUST003924,2023-12-15 20:30:32,PROD000127,2,89.63,179.26,0.0,Google Pay,0.0,Completed,Website
TXN0000023307,CUST002411,2024-02-28 13:13:03,PROD000109,1,236.53,236.53,0.0,Credit Card,0.0,Cancelled,In-Store
TXN0000020716,CUST002924,2024-02-07 17:07:09,PROD000033,1,288.23,288.23,0.0,Apple Pay,0.0,Completed,Website
TXN0000023988,CUST000592,2024-01-13 05:03:52,PROD000167,2,282.29,564.58,0.0,Debit Card,0.0,Completed,Website
TXN0000008811,CUST003002,2024-04-17 13:36:14,PROD000015,1,419.19,419.19,0.0,PayPal,0.0,Completed,Mobile App
TXN0000012849,CUST002440,2024-11-10 05:30:53,PROD000015,1,419.19,419.19,0.0,Google Pay,0.0,Completed,Mobile App
TXN0000009832,CUST003127,2023-08-13 10:49:49,PROD000020,1,223.82,223.82,0.0,PayPal,0.0,Completed,In-Store
TXN0000021361,CUST000458,2024-08-06 16:33:32,PROD000197,1,238.41,238.41,0.0,Google Pay,0.0,Completed,In-Store
TXN0000015974,CUST003895,2023-05-23 19:10:03,PROD000103,2,210.0,420.0,0.0,Debit Card,0.0,Cancelled,Mobile App
TXN0000016360,CUST001359,2023-12-21 22:47:52,PROD000197,1,238.41,238.41,0.0,Apple Pay,0.0,Completed,Mobile App
TXN0000020843,CUST000504,2024-08-07 05:39:28,PROD000184,1,181.8,181.8,0.0,Credit Card,0.0,Completed,Website
TXN0000001248,CUST004291,2024-08-21 20:26:59,PROD000013,1,334.47,334.47,0.0,Debit Card,0.0,Completed,Mobile App
TXN0000000522,CUST004793,2024-05-03 06:15:14,PROD000168,3,34.38,103.14,0.0,Credit Card,0.0,Completed,In-Store
TXN0000017993,CUST000210,2023-04-29 00:50:49,PROD000015,1,419.19,419.19,0.0,PayPal,0.0,Completed,Website
TXN0000004001,CUST002977,2023-01-11 22:17:31,PROD000120,1,160.76,160.76,0.0,Debit Card,0.0,Completed,Mobile App
TXN0000017297,CUST003889,2023-03-13 16:33:24,PROD000082,1,111.9,111.9,0.0,Debit Card,0.0,Completed,Website
TXN0000003916,CUST004479,2024-10-13 07:35:45,PROD000079,1,77.73,77.73,0.0,PayPal,0.0,Completed,Mobile App
TXN0000019540,CUST001150,2023-01-09 01:53:29,PROD000169,1,499.99,499.99,0.0,Credit Card,0.0,Cancelled,Website
TXN0000001493,CUST002701,2024-08-24 21:34:34,PROD000082,1,111.9,111.9,0.0,Apple Pay,0.0,Completed,Mobile App
TXN0000011688,CUST001325,2024-04-18 20:43:18,PROD000121,1,337.21,314.58,22.63,Credit Card,0.0,Cancelled,In-Store
TXN0000009343,CUST003930,2023-01-12 22:16:30,PROD000197,2,238.41,413.89,62.93,PayPal,0.0,Completed,Mobile App
TXN0000016386,CUST002389,2024-08-04 22:42:24,PROD000143,3,392.92,1178.76,0.0,Google Pay,0.0,Completed,Mobile App
TXN0000007923,CUST004048,2024-02-04 02:00:56,PROD000043,3,15.34,46.02,0.0,Google Pay,6.76,Completed,Website
TXN0000018178,CUST004981,2023-12-20 04:24:26,PROD000013,2,334.47,668.94,0.0,Google Pay,0.0,Completed,Website
TXN0000017094,CUST000282,2023-07-01 06:15:34,PROD000013,1,334.47,334.47,0.0,Credit Card,0.0,Completed,Mobile App
TXN0000004874,CUST001398,2024-09-02 23:52:08,PROD000082,1,111.9,111.9,0.0,PayPal,0.0,Returned,In-Store
TXN0000024910,CUST004944,2023-11-09 15:15:26,PROD000131,1,294.34,294.34,0.0,Apple Pay,0.0,Completed,Website
TXN0000009465,CUST000306,2024-12-01 09:59:25,PROD000079,1,77.73,77.73,0.0,Debit Card,0.0,Completed,Website
TXN0000001049,CUST004411,2024-03-08 00:10:01,PROD000095,1,201.2,201.2,0.0,Google Pay,0.0,Completed,Mobile App
